Nombre prénoms déclarés;Sexe;Annee;Prenoms;Nombre total cumule par annee
7;M;2013;Aïdan;7
8;F;2013;Catherine;8
22;F;2013;Alya;22
86;F;2013;Clémence;86
8;M;2013;Anass;8
9;F;2013;Clothilde;9
19;M;2013;André;19
19;F;2013;Colombe;19
8;F;2013;Ange;25
6;M;2013;Dario;6
9;M;2013;Anthony;9
7;F;2013;Delphine;7
6;M;2013;Bruno;6
9;F;2013;Eliana;9
5;F;2013;Celia;5
9;M;2013;Élie;9
6;F;2013;Chahinez;6
6;F;2013;Eliza;6
7;F;2013;Charlène;7
13;F;2013;Elodie;13
6;M;2013;Cheikh;6
133;F;2012;Adèle;133
20;M;2013;Eloi;20
27;F;2013;Chiara;27
5;M;2012;Adib;5
5;M;2013;Giulio;5
12;M;2013;Christian;12
15;M;2012;Alfred;15
27;M;2013;Grégoire;27
5;F;2013;Cindy;5
64;M;2012;Amine;64
41;M;2013;Gustave;41
134;M;2013;Clément;134
146;F;2012;Anna;146
10;F;2013;Hajar;10
10;F;2013;Cléophée;10
8;M;2012;Arié;8
38;F;2013;Hanna;38
11;F;2013;Coumba;11
140;M;2012;Augustin;140
6;M;2013;Hédi;6
8;M;2013;Curtis;8
28;M;2012;Bastien;28
20;M;2013;Idriss;20
9;F;2013;Dounia;9
15;F;2012;Bianca;15
6;M;2013;Ilhan;6
7;F;2013;Éléna;7
6;M;2012;Boris;6
51;F;2013;Inaya;51
31;M;2013;Elie;31
10;F;2012;Candice;10
57;F;2013;Iris;57
9;M;2013;Emir;9
6;M;2012;Chris;6
10;F;2013;Jana;10
17;F;2013;Emna;17
26;F;2012;Claire;26
5;F;2013;Jannah;5
5;M;2013;Éric;5
60;F;2012;Constance;60
7;M;2013;Joël;7
8;M;2013;Giovanni;8
177;F;2012;Emma;177
6;M;2013;Justin;6
9;M;2013;Guilhem;9
10;M;2012;Eugène;10
8;F;2013;Khadidja;8
7;F;2013;Hind;7
17;F;2012;Eve;17
7;M;2013;Laurent;7
7;F;2013;Iliana;7
6;M;2012;Ewen;6
103;M;2013;Liam;103
17;M;2013;Imrane;17
6;M;2012;Ezio;6
5;F;2013;Loubna;5
11;M;2013;Jacob;11
5;M;2012;Fadi;5
6;M;2013;Maé;6
20;M;2013;Jonas;20
7;M;2012;Franck;7
17;M;2013;Mahamadou;17
11;M;2013;Josh;11
13;F;2012;Gabriela;13
6;F;2013;Maïwenn;6
6;M;2013;Josué;6
6;M;2012;Gautier;6
5;F;2013;Malek;14
139;F;2013;Juliette;139
65;M;2012;Jean;65
8;F;2019;Ariana;8
10;F;2013;Maram;10
21;F;2013;Justine;21
9;M;2012;Johan;9
8;F;2019;Zahra;8
13;M;2013;Marwan;13
5;F;2013;Kadiatou;5
163;F;2012;Juliette;163
8;F;2019;Zita;8
79;M;2013;Mathis;79
5;F;2013;Kim;5
14;F;2012;Kelly;14
7;M;2019;Anes;7
39;M;2013;Mehdi;39
131;F;2013;Léa;131
26;F;2012;Lena;26
7;M;2019;Dario;7
7;M;2013;Miguel;7
24;F;2013;Livia;24
7;M;2012;Lévi;7
7;M;2019;Paulin;7
8;M;2013;Nabil;8
72;F;2013;Lola;72
8;F;2012;Leyna;8
7;F;2019;Aisha;7
47;M;2013;Nolan;47
166;M;2013;Lucas;166
5;F;2012;Linoy;5
7;F;2019;Amel;7
17;F;2013;Norah;17
43;F;2013;Maëlys;43
20;F;2012;Liv;20
7;F;2019;May;7
7;M;2013;Romeo;7
5;F;2013;Mamou;5
6;M;2012;Louison;6
7;F;2019;Tessa;7
20;M;2013;Sami;20
6;F;2013;Manelle;6
8;F;2012;Lucille;8
6;M;2019;Barthélemy;6
44;M;2013;Solal;44
8;M;2013;Marlon;8
9;F;2012;Maïwenn;9
6;M;2019;Hussein;6
18;M;2013;Soren;18
38;M;2013;Mathieu;38
23;M;2012;Marc;23
6;M;2019;Mamoudou;6
5;F;2013;Taïna;5
37;M;2013;Matthieu;37
5;M;2012;Matias;5
6;M;2019;Zion;6
13;F;2013;Théa;13
189;M;2013;Maxime;189
31;M;2012;Max;31
6;F;2019;Joanne;6
11;M;2013;Thibaut;11
8;F;2013;Mayar;8
93;M;2012;Maxence;93
6;F;2019;Laïa;6
8;M;2013;Tim;8
8;F;2013;Meïssa;8
7;F;2012;Maxine;7
6;F;2019;Leïa;6
35;M;2013;Yacine;35
10;F;2013;Méline;10
6;F;2012;Meryem;6
6;F;2019;Malek;6
5;M;2014;Abdel;5
29;M;2013;Milan;29
5;F;2012;Nada;5
6;F;2019;Michelle;6
7;M;2014;Abdou;7
13;M;2013;Nahel;13
28;M;2012;Nael;28
6;F;2019;Nana;6
9;M;2014;Abdoul;9
14;F;2013;Naomie;14
12;F;2012;Nawel;12
6;F;2019;Tiffany;6
7;F;2014;Abigail;7
15;M;2013;Neil;15
6;M;2012;Nikola;6
5;M;2019;Andrei;5
42;M;2014;Ahmed;42
25;F;2013;Nora;25
7;F;2012;Noor;7
5;M;2019;Angelo;5
43;F;2014;Aïcha;43
8;M;2013;Othmane;8
19;M;2012;Rafaël;19
5;M;2019;Jed;5
7;M;2014;Alan;7
9;M;2013;Paolo;9
26;F;2012;Raphaëlle;26
5;M;2019;Joan;5
16;F;2014;Amélie;16
13;F;2013;Rania;13
5;F;2012;Safiya;5
5;M;2019;Leny;5
6;M;2014;Aris;6
5;M;2013;Reda;5
16;F;2012;Shirel;16
5;F;2019;Ayana;5
6;M;2014;Aubin;6
21;M;2013;Sasha;21
99;M;2012;Simon;99
5;F;2019;Elikya;5
42;M;2014;Ayoub;42
6;M;2013;Sekou;6
43;F;2012;Stella;43
5;F;2019;Leah;5
13;F;2014;Billie;13
7;F;2013;Selena;7
8;F;2012;Talya;8
5;F;2019;Nellia;5
23;F;2014;Brune;23
13;F;2013;Sonia;13
9;F;2012;Tasnim;9
114;F;2020;Olivia;114
7;M;2014;Bryan;7
5;F;2013;Thanina;5
147;M;2012;Thomas;147
111;M;2020;Sacha;111
19;F;2014;Célestine;19
5;M;2013;Tobias;5
23;M;2012;Titouan;23
